,Time,Open,High,Low,Close,Volume
1130,2014-10-09T09:20:00+0530,226.33,226.6,226.02,226.23,23403
1131,2014-10-09T09:21:00+0530,226,226.39,225.83,226.25,17826
1132,2014-10-09T09:22:00+0530,226.4,226.4,225.93,225.97,21975
1133,2014-10-09T09:23:00+0530,225.97,226.1,225.2,225.4,32688
1134,2014-10-09T09:24:00+0530,225.4,225.63,224.97,225.07,70215
1135,2014-10-09T09:25:00+0530,225,225,224.47,224.63,50877
1136,2014-10-09T09:26:00+0530,224.67,224.67,224.25,224.6,21633
1137,2014-10-09T09:27:00+0530,224.6,224.87,224.47,224.8,15519
1138,2014-10-09T09:28:00+0530,224.73,224.92,224.37,224.67,16179
1139,2014-10-09T09:29:00+0530,224.72,224.83,224.33,224.7,16077
1140,2014-10-09T09:30:00+0530,224.69,225,224.69,224.93,11049
1141,2014-10-09T09:31:00+0530,224.97,225.33,224.97,225.17,11544
1142,2014-10-09T09:32:00+0530,225.25,225.3,225.1,225.23,18270
1143,2014-10-09T09:33:00+0530,225.17,225.62,225.17,225.5,10902
1144,2014-10-09T09:34:00+0530,225.5,226,225.43,225.63,32112
1145,2014-10-09T09:35:00+0530,225.67,225.67,225.39,225.47,10986
1146,2014-10-09T09:36:00+0530,225.49,225.67,225.47,225.65,3900
1147,2014-10-09T09:37:00+0530,225.63,225.75,225.5,225.73,6639
1148,2014-10-09T09:38:00+0530,225.7,225.9,225.43,225.73,18057
1149,2014-10-09T09:39:00+0530,225.7,226.1,225.7,226.05,22695
1150,2014-10-09T09:40:00+0530,226.07,226.07,225.63,225.73,14865
1151,2014-10-09T09:41:00+0530,225.52,225.77,225.33,225.33,11220
1152,2014-10-09T09:42:00+0530,225.17,226.7,225.07,226.67,70641
1153,2014-10-09T09:43:00+0530,226.62,226.67,226.09,226.32,35967
1154,2014-10-09T09:44:00+0530,226.3,227.33,226.1,227.33,65991
1155,2014-10-09T09:45:00+0530,227.33,227.6,227.09,227.47,56928
1156,2014-10-09T09:46:00+0530,227.35,227.63,227.17,227.29,29724
1157,2014-10-09T09:47:00+0530,227.47,227.73,227.33,227.67,39864
1158,2014-10-09T09:48:00+0530,227.73,228.1,227.72,227.87,80034
1159,2014-10-09T09:49:00+0530,227.92,227.99,227.67,227.83,32349
1160,2014-10-09T09:50:00+0530,227.8,227.89,227.5,227.77,30870
1161,2014-10-09T09:51:00+0530,227.67,227.77,227.52,227.59,13026
1162,2014-10-09T09:52:00+0530,227.33,227.67,226.87,227,23763
1163,2014-10-09T09:53:00+0530,227,227.03,226.7,226.7,18771
1164,2014-10-09T09:54:00+0530,226.82,227,226.67,226.97,17178
1165,2014-10-09T09:55:00+0530,227,227.17,226.97,227.17,13197
1166,2014-10-09T09:56:00+0530,227.03,227.42,227.03,227.17,8847
1167,2014-10-09T09:57:00+0530,227.2,227.59,227.2,227.4,17001
1168,2014-10-09T09:58:00+0530,227.43,227.45,227.17,227.25,9141
1169,2014-10-09T09:59:00+0530,227.22,227.33,226.97,227.17,10497
1170,2014-10-09T10:00:00+0530,227.3,227.33,226.87,226.9,8703
1171,2014-10-09T10:01:00+0530,227.1,227.29,226.9,226.92,5904
1172,2014-10-09T10:02:00+0530,226.99,227.13,226.83,226.97,10551
1173,2014-10-09T10:03:00+0530,227,227,226.85,226.87,2598
1174,2014-10-09T10:04:00+0530,226.85,226.89,226.75,226.8,5811
1175,2014-10-09T10:05:00+0530,226.77,226.8,226.17,226.3,29820
1176,2014-10-09T10:06:00+0530,226.32,226.53,226.32,226.37,10482
1177,2014-10-09T10:07:00+0530,226.37,226.49,226.3,226.3,9447
1178,2014-10-09T10:08:00+0530,226.3,226.67,226.3,226.67,6810
1179,2014-10-09T10:09:00+0530,226.67,226.67,226.4,226.52,4392
1180,2014-10-09T10:10:00+0530,226.55,226.6,226.4,226.52,2565
1181,2014-10-09T10:11:00+0530,226.52,226.67,226.4,226.4,13308
1182,2014-10-09T10:12:00+0530,226.6,226.67,226.43,226.67,2607
1183,2014-10-09T10:13:00+0530,226.79,226.8,226.59,226.67,15600
1184,2014-10-09T10:14:00+0530,226.77,226.83,226.67,226.83,7668
1185,2014-10-09T10:15:00+0530,226.87,226.99,226.7,226.77,4254
1186,2014-10-09T10:16:00+0530,226.8,227,226.75,226.83,3726
1187,2014-10-09T10:17:00+0530,226.83,226.83,226.45,226.75,2787
1188,2014-10-09T10:18:00+0530,226.75,226.75,226.42,226.65,4170
1189,2014-10-09T10:19:00+0530,226.67,226.67,226.4,226.6,8262
1190,2014-10-09T10:20:00+0530,226.57,226.67,226.49,226.65,9000
1191,2014-10-09T10:21:00+0530,226.5,226.65,226.42,226.59,6012
1192,2014-10-09T10:22:00+0530,226.59,226.7,226.42,226.5,7314
1193,2014-10-09T10:23:00+0530,226.5,226.67,226.47,226.67,7770
1194,2014-10-09T10:24:00+0530,226.8,226.9,226.53,226.8,6729
1195,2014-10-09T10:25:00+0530,226.8,227,226.79,226.99,5796
1196,2014-10-09T10:26:00+0530,226.87,227,226.87,226.93,3180
1197,2014-10-09T10:27:00+0530,226.97,227.33,226.92,227.25,9972
1198,2014-10-09T10:28:00+0530,227.3,227.32,227.02,227.03,2679
1199,2014-10-09T10:29:00+0530,227.05,227.17,227.02,227.02,2451
1200,2014-10-09T10:30:00+0530,227.1,227.1,226.72,226.89,5463
1201,2014-10-09T10:31:00+0530,226.89,227.17,226.8,227.1,2031
1202,2014-10-09T10:32:00+0530,227.1,227.1,226.72,226.93,5883
1203,2014-10-09T10:33:00+0530,226.97,226.97,226.72,226.73,2694
1204,2014-10-09T10:34:00+0530,226.73,226.85,226.69,226.69,1596
1205,2014-10-09T10:35:00+0530,226.89,226.89,226.67,226.67,3525
1206,2014-10-09T10:36:00+0530,226.82,226.82,226.43,226.49,5274
1207,2014-10-09T10:37:00+0530,226.5,226.8,226.42,226.59,5121
1208,2014-10-09T10:38:00+0530,226.57,226.57,226.53,226.53,768
1209,2014-10-09T10:39:00+0530,226.53,226.55,226.5,226.55,939
1210,2014-10-09T10:40:00+0530,226.67,226.7,226.5,226.7,3843
1211,2014-10-09T10:41:00+0530,226.5,226.73,226.43,226.55,3360
1212,2014-10-09T10:42:00+0530,226.55,226.55,226.49,226.49,1341
