id,number_of_retweets,number_of_favorites,created_at,text
999874256950280194,1,5,2018-05-25 04:46:14,"b""Key highlights of JP Morgan's Jahangir Aziz's conversation about the state of the Indian economy.\nWatch the full in\xe2\x80\xa6 https://t.co/CRBcy22oxr"""
999873946844573698,0,1,2018-05-25 04:45:00,"b""Apple\xe2\x80\x99s $539 million wn damages is a 'big win\xe2\x80\x99 over Samsung.\nhttps://t.co/yypGxl45M9 https://t.co/F8gNJ1DDtF"""
999871849168187392,0,2,2018-05-25 04:36:40,"b'COMING UP | This trading expert studies 6,000 charts a week. Watch JC Parets at @Traderscarnival, only on Bloomberg\xe2\x80\xa6 https://t.co/gEOOxkSEjW'"
999871430408859649,1,1,2018-05-25 04:35:00,"b'#4YearsOfModi | The Nifty 50 Index has gained 42%, well ahead of the 10% gains for the MSCI Emerging Market Index.\xe2\x80\xa6 https://t.co/YDqdnMwYY7'"
999870824407486464,1,1,2018-05-25 04:32:35,b'The F&amp;O Show #BQLive \n- Nifty trades above 100-DMA \n- Find out what positions should one take in a buoyant market l\xe2\x80\xa6 https://t.co/wFYD0rxqGR'
999870171715006465,2,2,2018-05-25 04:30:00,b'#4YearsOfModi | More hits or more misses? Tell us what you think and get featured on our special show today.\xe2\x80\xa6 https://t.co/U3rf7TPImV'
999869146211926016,1,2,2018-05-25 04:25:55,"b'Director-Commercial NMDC, TRK Rao on the decision to hike prices after 3 months.\nhttps://t.co/JFdIwuPkJC https://t.co/DsSacRATNQ'"
999866397227388928,3,4,2018-05-25 04:15:00,"b""#BQOpinion | #4YearsOfModi's BJP and missed opportunities, by @ShankkarAiyar. \nhttps://t.co/zwDHM1OQ6Y https://t.co/Fa9QPAOOf6"""
999865924013494272,3,3,2018-05-25 04:13:07,b'Nifty stays flat for the year as midcaps and smallcaps correct. Is the Nifty being controlled by flows into a few s\xe2\x80\xa6 https://t.co/29JkY7Cwx7'
999865198381953026,0,2,2018-05-25 04:10:14,b'#BQStocks | TCS shares hit record high; cross Rs 7 lakh crore market capitalisation mark\nhttps://t.co/JFdIwuPkJC https://t.co/VL8w90EeNr'
999863606224277504,0,0,2018-05-25 04:03:54,"b""#BQLive\n- JPMorgan's Jahangir Aziz on emerging market risks, the crude challenge &amp; more. \n- Decoding V-Mart's Q4 ea\xe2\x80\xa6 https://t.co/a0XyqFKOD3"""
999862734048059392,0,3,2018-05-25 04:00:27,b'#BQStocks | Shares of United Breweries rally over 6%; hit record high\nhttps://t.co/JFdIwuPkJC https://t.co/9Wlab8BHba'
999862621997154304,1,1,2018-05-25 04:00:00,b'President Trump gets cold feet on China trade deal.\nhttps://t.co/jEpW4Z8L6f https://t.co/421tsADcA2'
999862172158066688,0,0,2018-05-25 03:58:13,b'#BQStocks | Gujarat Alkalies &amp; Chemicals jump the most in 6 months on strong Q4 earnings.\nhttps://t.co/JFdIwuPkJC https://t.co/Ntgo5xmcVx'
999860881675632640,1,1,2018-05-25 03:53:05,"b'#BQMarketsNow | Sensex, Nifty open higher; GAIL rises on CLSA upgrade\nhttps://t.co/JFdIwuPkJC https://t.co/4rzKVvRxBb'"
999860105851146240,0,1,2018-05-25 03:50:00,"b""Analysing the state of the Indian economy with @jpmorgan's Jahangir Aziz.\nhttps://t.co/AitjJVPqvL https://t.co/3IrZhFgsNN"""
999858847232634880,0,2,2018-05-25 03:45:00,b'Jet Airways says its debt may rise for the next one or two quarters.\nhttps://t.co/ck6jYglgRm https://t.co/OxyhECFL0k'
999858466154950657,0,0,2018-05-25 03:43:29,b'#BQMoney | Indian rupee strengthens for second straight day.\nhttps://t.co/JFdIwuPkJC https://t.co/eypXU8DIBy'
999857589268631552,0,2,2018-05-25 03:40:00,b'The next best thing to attending @Traderscarnival is tuning into BloombergQuint to watch our coverage of the best t\xe2\x80\xa6 https://t.co/XphIaNxeZZ'
999857009481560064,1,1,2018-05-25 03:37:42,"b'#BQMoney | Rupee headed for record lows; bond weakness may continue, reports @nupuracharya.\nhttps://t.co/oKryiTQwVJ https://t.co/6U1TIuwsvB'"
999856330838962176,3,1,2018-05-25 03:35:00,b'Fuel prices continue to rise for the 12th consecutive day.\nhttps://t.co/B7O23TINkP https://t.co/DQHq8CaGQL'
999855072954732544,0,2,2018-05-25 03:30:00,"b'Bringing fuel under #GST one of the options, says Oil Minister @dpradhanbjp.\nhttps://t.co/eiYUbF0qTC https://t.co/9k8CoxhvNe'"
999853543623311361,3,8,2018-05-25 03:23:55,b'The world\xe2\x80\x99s best and worst bank returns can be found in India.\nhttps://t.co/V8Es7Za8Hm https://t.co/1JvUVpGkIW'
999853092924411904,3,4,2018-05-25 03:22:08,"b""In charts: How equities, currencies and bonds fared over #4YearsOfModi's tenure\nhttps://t.co/jBf2Ohg025 https://t.co/E0Aed9nSje"""
999852555743080448,0,0,2018-05-25 03:20:00,b'Expert financial planners will help you meet your financial goals on Portfolio.\nSend us your income and contact inf\xe2\x80\xa6 https://t.co/eP1osP6VPH'
